"barcode","region","pseudotime","state","pxl_row_in_fullres","pxl_col_in_fullres"
"s_008um_00104_00418-1","mature_22",6.25253617737604,1,20593.3901499403,12141.1705005458
"s_008um_00171_00348-1","mature_24",2.70196273000867,1,18535.8707104695,14092.6921836179
"s_008um_00219_00697-1","mature_25",0.265495167257627,3,28743.5426554898,15543.6072252161
"s_008um_00494_00814-1","mature_3",3.82243954334825,2,32131.2234799778,23606.7919137499
"s_008um_00061_00581-1","mature_12",3.06552668649231,2,25369.5433662045,10904.3450533812
"s_008um_00067_00711-1","mature_13",0.257193207792597,3,29173.382028124,11097.1616349961
"s_008um_00154_00793-1","mature_12",0.274583537790043,3,31561.6825585179,13654.0904745886
"s_008um_00035_00566-1","mature_16",4.86769218140805,2,24933.9800289618,10141.4529367566
"s_008um_00171_00783-1","mature_12",0.206078821182003,3,31266.7717865132,14150.271223862
"s_008um_00028_00633-1","mature_15",10.0012657497385,2,26895.7646463762,9945.47358463136
"s_008um_00485_00830-1","mature_3",3.15790261888534,2,32600.6618530187,23345.5277186303
"s_008um_00054_00660-1","mature_15",3.0563006980419,2,27682.5200028077,10709.9543104481
"s_008um_00102_00654-1","mature_12",2.23980570163437,3,27500.5735017362,12113.8971633923
"s_008um_00125_00682-1","mature_12",10.712681980009,2,28316.9869983804,12790.7061319577
"s_008um_00118_00573-1","mature_16",3.12368321568092,2,25127.8789780834,12571.4149474516
"s_008um_00284_00797-1","mature_1",5.06205582204241,2,31661.5269183775,17459.0435611576
"s_008um_00044_00648-1","mature_15",0.337667358912489,3,27332.6457014952,10415.7096262112
"s_008um_00117_00568-1","mature_16",6.7648018468957,2,24981.6785920434,12541.4874409534
"s_008um_00066_00606-1","mature_12",0.890748601406122,3,26100.5456923361,11053.9848317922
"s_008um_00091_00547-1","mature_16",0.269588514146101,3,24370.5159469071,11777.8053357786
"s_008um_00166_00434-1","mature_19",9.80264852769643,2,21053.4798664249,13957.7489094324
"s_008um_00146_00703-1","mature_12",0.197087118427793,3,28928.7984821588,13408.0550601381
"s_008um_00131_00745-1","mature_12",10.4002513927603,2,30159.960343744,12974.6392505283
"s_008um_00430_00784-1","mature_5",0.262843690482903,3,31261.7366328035,21729.92929701
"s_008um_00104_00415-1","mature_22",5.81196471758885,1,20505.5894814505,12140.7731585824
"s_008um_00059_00510-1","mature_16",0.290748445476194,3,23291.8757229541,10836.4065490915
"s_008um_00083_00692-1","mature_14",9.94931238593797,2,28615.2060746778,11562.8897245706
"s_008um_00172_00795-1","mature_12",0.273029910016357,3,31617.8302248615,14181.1245177034
"s_008um_00130_00470-1","mature_18",5.06577228221313,2,22111.8332701996,12908.9602384562
"s_008um_00294_00772-1","mature_8",7.46165498325903,2,30928.5588045538,17748.3841114067
"s_008um_00362_00721-1","mature_9",0.264552758100214,3,29427.0017978723,19731.6321217158
"s_008um_00136_00510-1","mature_18",4.55942625310909,2,23281.7080891085,13089.8491764064
"s_008um_00047_00589-1","mature_12",0.289832946059334,3,25605.5260193159,10495.6877606451
"s_008um_00023_00529-1","mature_16",7.26250165833303,2,23852.6978961248,9785.36143320577
"s_008um_00377_00710-1","mature_9",1.08779432471819,3,29103.0929490965,20169.1456546672
"s_008um_00097_00414-1","mature_22",5.9232729090532,1,20477.2459557788,11935.781547411
"s_008um_00142_00332-1","mature_28",5.76367777234987,2,18071.4210617912,13241.8738660925
"s_008um_00134_00450-1","mature_18",4.96918366696652,2,21525.9704499123,13023.3737683958
"s_008um_00224_00773-1","mature_25",6.5312583309778,2,30967.0940723032,15699.9866017818
"s_008um_00056_00553-1","mature_16",1.49709342433302,3,24550.739306349,10754.3073878414
"s_008um_00236_00750-1","mature_25",3.41345634180141,2,30292.3897688335,16048.1215525994
"s_008um_00168_00728-1","mature_26",4.77980223076414,2,29657.5395557294,14055.1961640616
"s_008um_00085_00598-1","mature_12",2.81197792636528,2,25863.9023766105,11608.9683918259
